story,character, appearing lines
ef8ae30d-d966-4953-b3be-852822b314fe,John,"[1, 2, 3, 4, 5]"
2ac3f2c0-f398-43c7-b1ce-33f957cbd1c3,Everybody,"[5]"
b9c5c780-139e-4997-a2af-c0d5f62bb228,Samantha,"[1, 2, 3, 4, 5]"
b9c5c780-139e-4997-a2af-c0d5f62bb228,Brother,"[5]"
b9c5c780-139e-4997-a2af-c0d5f62bb228,Other kids,"[2]"
1632711e-d07e-4d7f-87c3-005ce4a02810,The passenger,"[2, 3]"
1632711e-d07e-4d7f-87c3-005ce4a02810,Other passengers,"[4]"
1632711e-d07e-4d7f-87c3-005ce4a02810,Wife,"[1, 5]"
779c01ea-771d-4eee-b204-9a09a6093220,Maria,"[1, 2, 3, 4]"
2c4e4077-1b38-4419-b89d-4ef931e6e936,Carrie,"[1, 2, 3, 4, 5]"
2c4e4077-1b38-4419-b89d-4ef931e6e936,The doctors,"[3]"
94d78974-1d5a-406c-8175-fc5c9482abac,Jerry,"[1, 2, 3, 4, 5]"
1d9bad85-fd9e-4d34-88ad-c6499a3c7b4d,Tim,"[1, 2, 3, 4, 5]"
9d1ae883-5120-4d86-be6d-772c6e4a93a4,Paul,"[1, 2, 3, 5]"
9d1ae883-5120-4d86-be6d-772c6e4a93a4,Susan,"[1, 2, 3, 5]"
a837be0b-d05b-4d67-aa89-ffd9364f6493,Beth,"[1, 2, 3, 4, 5]"
83554c2c-cedd-43f6-81ad-901ba8c2b3a6,I (myself),"[1, 2, 3, 4, 5]"
097f9bf0-c572-4646-90d8-938e44bbcb28,Friends,"[4]"
097f9bf0-c572-4646-90d8-938e44bbcb28,Sid,"[1, 2, 4, 5]"
738820b4-eabf-43e0-92ea-38e1ba61fa78,Joy,"[1, 3, 4, 5]"
738820b4-eabf-43e0-92ea-38e1ba61fa78,Bill,"[1, 2, 3, 4, 5]"
247f9b68-2164-44fe-b4c6-633a783f6516,Will,"[1, 3, 4, 5]"
b5130c03-5b44-4943-80fb-070fa787f6db,Leroy,"[1, 2, 3, 4, 5]"
86893045-4c9b-4b26-8dcc-6e16c8f95a40,I (myself),"[3, 4, 5]"
55900be1-9b7f-423c-a3cb-50f37fab6b15,Tim,"[1, 2, 3, 4, 5]"
55900be1-9b7f-423c-a3cb-50f37fab6b15,Chiropractor,"[2, 3, 4]"
eb2b082f-097e-43e0-9591-b4c7d8b222dd,Lottie's friends,"[1, 4, 5]"
eb2b082f-097e-43e0-9591-b4c7d8b222dd,Family,"[1, 2, 3, 4, 5]"
47c933a0-3f9a-41dd-868a-2bab887a5b02,Someone,"[2, 3, 4]"
47c933a0-3f9a-41dd-868a-2bab887a5b02,John,"[1, 2, 3, 4, 5]"
47c933a0-3f9a-41dd-868a-2bab887a5b02,Friend,"[1, 2, 5]"
644b3fed-4e0e-4d3d-a3be-85ad788a494a,Jimmy,"[1, 3, 4, 5]"
644b3fed-4e0e-4d3d-a3be-85ad788a494a,Teacher,"[2, 5]"
68e004a7-7b62-4fdd-ba82-1af1e8a9c23a,Allie,"[1, 2, 3, 4, 5]"
5d733904-b4a1-47f1-a887-b77b0478ee00,James,"[1, 2, 3, 4, 5]"
5d733904-b4a1-47f1-a887-b77b0478ee00,His manager,"[5]"
5aae423c-af79-4514-8202-003d32927eb7,Kelly,"[1, 2, 3, 4, 5]"
54936518-13a8-44d0-84a9-69e1d206ee24,I (myself),"[1, 2, 3, 4, 5]"
54936518-13a8-44d0-84a9-69e1d206ee24,Warm,"[3]"
54936518-13a8-44d0-84a9-69e1d206ee24,Love,"[2]"
54936518-13a8-44d0-84a9-69e1d206ee24,Step son,"[1, 2, 3, 4, 5]"
1f472765-2c86-48d9-b790-26dd54678af1,A family,"[1, 2, 3, 4, 5]"
64663017-71b6-4f0b-8a1a-f2209029e802,Ella,"[1, 2, 3, 4, 5]"
64663017-71b6-4f0b-8a1a-f2209029e802,Kindergarten class,"[3]"
4921551b-aa8c-434d-b300-97e129615245,I (myself),"[1, 3, 4]"
4921551b-aa8c-434d-b300-97e129615245,Brother,"[1, 2, 3, 4, 5]"
173b6eb8-7842-42fa-92f1-c0e17da58dca,Tyrone,"[1, 3, 5]"
173b6eb8-7842-42fa-92f1-c0e17da58dca,Family,"[2, 3, 5]"
68c95e52-a716-4227-a4c9-355eefc29093,I (myself),"[1, 2, 3, 4, 5]"
68c95e52-a716-4227-a4c9-355eefc29093,Former co-worker,"[3, 4]"
68c95e52-a716-4227-a4c9-355eefc29093,Boss,"[5]"
ee74af90-e3b7-43a9-ac64-722d04b349dd,Friends,"[1, 2, 4, 5]"
ee74af90-e3b7-43a9-ac64-722d04b349dd,Zack,"[1, 2, 3, 4, 5]"
efb34261-3997-492b-b979-0a5319a01fe2,Friends,"[2]"
efb34261-3997-492b-b979-0a5319a01fe2,Allie,"[1]"
740ec3f5-ad2c-4063-a86c-e4ba26c7570c,Beth,"[1, 2, 3, 4, 5]"
740ec3f5-ad2c-4063-a86c-e4ba26c7570c,Mourners,"[4, 5]"
94949a8a-b0d9-409d-abbf-0c2cccd53904,Ken,"[1, 2, 3, 5]"
94949a8a-b0d9-409d-abbf-0c2cccd53904,Friend,"[3, 4, 5]"
0e4110b1-fe10-4775-b3a5-fb280ef3707a,Firemen,"[4]"
0e4110b1-fe10-4775-b3a5-fb280ef3707a,Eric,"[1, 2, 5]"
0e4110b1-fe10-4775-b3a5-fb280ef3707a,Mom,"[3, 4]"
2701acde-b75c-43da-a8dc-edb5397648d0,His employee,"[3, 5]"
2701acde-b75c-43da-a8dc-edb5397648d0,Dana,"[1, 2, 3, 4, 5]"
2701acde-b75c-43da-a8dc-edb5397648d0,The managers,"[2]"
19193a4c-b681-4d23-9be8-8bb73a025b1b,Ted,"[1]"
0a03155e-d612-4525-981f-8e7e4fae0249,Bryan,"[2, 3, 4, 5]"
3f623a4f-3533-4796-8802-23cbe5788caf,Tow guy,"[4]"
3f623a4f-3533-4796-8802-23cbe5788caf,Towing company,"[3]"
3f623a4f-3533-4796-8802-23cbe5788caf,Kim,"[1, 2, 3, 4, 5]"
4d3bebbb-5ed6-4051-99bb-dbe581091b78,Linda,"[1, 2, 5]"
4d3bebbb-5ed6-4051-99bb-dbe581091b78,Tom,"[1, 3, 4, 5]"
9fb13a3b-3717-4f51-8046-044a9c27510d,I (myself),"[1]"
9fb13a3b-3717-4f51-8046-044a9c27510d,State,"[3]"
9fb13a3b-3717-4f51-8046-044a9c27510d,Governor,"[1, 2, 3, 4, 5]"
9fb13a3b-3717-4f51-8046-044a9c27510d,People,"[5]"
a190fc24-e1cc-4a3d-92b9-486ce5a45cc4,Sam,"[1, 2, 3, 4, 5]"
0e278ef1-be3a-43f5-9ac5-1396f5dd6d1f,I (myself),"[1, 3]"
0e278ef1-be3a-43f5-9ac5-1396f5dd6d1f,My friend,"[2]"
304883f4-0578-4301-8bef-94d5fa0eee80,I (myself),"[1, 3, 4, 5]"
304883f4-0578-4301-8bef-94d5fa0eee80,Woman,"[2, 3, 4]"
304883f4-0578-4301-8bef-94d5fa0eee80,Mother,"[5]"
f70ab83c-8f5b-4a75-bf50-b6114e22755b,Gina,"[1, 2, 3, 4, 5]"
074155fe-6b2d-49d3-b735-75fe76277354,Allie,"[1]"
8619a48b-353a-41be-8a5a-acc46b39ace0,Ricky,"[1, 2, 3, 4, 5]"
e78d1d3f-c5b8-4cfb-af59-7fd769dbbba4,Charlie,"[1, 2, 4, 5]"
e78d1d3f-c5b8-4cfb-af59-7fd769dbbba4,His dad,"[1, 3, 5]"
f503ab0d-221a-4af3-991d-b275be41d999,I (myself),"[1, 2, 3, 4, 5]"
f503ab0d-221a-4af3-991d-b275be41d999,Family,"[1, 2, 3, 4, 5]"
f503ab0d-221a-4af3-991d-b275be41d999,Teams,"[4, 5]"
56ac63b4-29e7-4150-a6fe-4fda542efe6b,I (myself),"[1, 2, 3, 4, 5]"
56ac63b4-29e7-4150-a6fe-4fda542efe6b,My wife,"[3, 4, 5]"
be2add65-bb0f-4e4b-8137-34ab159d5fc3,Tom,"[1, 2]"
9ce5f041-e53c-4600-b26d-06450ec3fdbf,Jeff,"[1, 2, 3, 4, 5]"
acf19d95-a8b1-4dd4-8e1a-315c28e232ba,Sara,"[1, 3]"
acf19d95-a8b1-4dd4-8e1a-315c28e232ba,Minute,"[2, 5]"
bc3b9442-647e-47f2-a781-bc99c614ee9a,Peggy,"[1, 3, 4]"
bc3b9442-647e-47f2-a781-bc99c614ee9a,Catherine,"[1, 2, 3, 5]"
021c6385-a6ce-423d-ba75-aa9e20aede20,I (myself),"[1, 3, 4]"
021c6385-a6ce-423d-ba75-aa9e20aede20,Children,"[1, 2, 5]"
021c6385-a6ce-423d-ba75-aa9e20aede20,Friend,"[1, 3]"
79000cd7-19dd-4801-9592-0ba34c108dd6,Tyron,"[1, 2, 3, 4, 5]"
79000cd7-19dd-4801-9592-0ba34c108dd6,Dad,"[5]"
0ff78b5a-c3c6-4885-959d-60a3828419b8,Sue,"[1, 3, 4, 5]"
441f073a-64fe-47db-9332-ba885f0196fb,Ben,"[1, 2, 3]"
441f073a-64fe-47db-9332-ba885f0196fb,Mother,"[1, 2, 5]"
d55a7a53-efff-4ae7-8bf8-c48552b3c5a0,Homeless man,"[2, 3, 4]"
d55a7a53-efff-4ae7-8bf8-c48552b3c5a0,Bill,"[1, 2, 3, 4, 5]"
1d99fdc8-4ba6-4528-81c8-1e40fb72bbc3,Bob,"[1, 2, 3, 4, 5]"
bdcc30ac-bede-42ea-b980-60082075bad9,I (myself),"[5]"
bdcc30ac-bede-42ea-b980-60082075bad9,Mom's boyfriend,"[1]"
0c65a736-22d1-4faf-b8cd-f269b6763c0a,Dan,"[3]"
0c65a736-22d1-4faf-b8cd-f269b6763c0a,Our teacher,"[1]"
0c65a736-22d1-4faf-b8cd-f269b6763c0a,Class,"[5]"
f31e38d3-5d94-4a56-9afd-ba8b4a4147e4,Army,"[1, 2, 3, 4, 5]"
f31e38d3-5d94-4a56-9afd-ba8b4a4147e4,George washington,"[2, 4]"
1ef4ed76-499e-4be9-9921-cebb463e682b,Baby,"[1, 2]"
1ef4ed76-499e-4be9-9921-cebb463e682b,I (myself),"[3, 5]"
1ef4ed76-499e-4be9-9921-cebb463e682b,Nicole,"[1, 2, 3, 4, 5]"
ab0fb465-7829-4948-9493-0645a5b3104c,Colin,"[1, 2, 3, 4, 5]"
ab0fb465-7829-4948-9493-0645a5b3104c,Children,"[4]"
ab0fb465-7829-4948-9493-0645a5b3104c,Family,"[2, 3, 4]"
909e54cc-de41-4908-a494-8e9de45abda7,Bernard,"[1, 2, 4, 5]"
909e54cc-de41-4908-a494-8e9de45abda7,Bernard's parents,"[2, 3]"
6617a817-59ce-477c-93d0-4452c488569b,Dog,"[1, 3]"
6617a817-59ce-477c-93d0-4452c488569b,Rabbit,"[1, 2, 3, 4, 5]"
df62cbcf-c2fe-4162-9c73-2d4b80f1d14e,Other kids,"[3, 4]"
df62cbcf-c2fe-4162-9c73-2d4b80f1d14e,Aurelia,"[1, 2, 3, 4, 5]"
4717fb1f-026d-43c9-92c5-c838f0c666b2,Dad,"[2]"
4717fb1f-026d-43c9-92c5-c838f0c666b2,Sparky,"[1, 2, 3, 4, 5]"
a5aebcb5-de38-417b-8fc3-4ce3c95eeddf,A company,"[4]"
a5aebcb5-de38-417b-8fc3-4ce3c95eeddf,Rob,"[1]"
a5aebcb5-de38-417b-8fc3-4ce3c95eeddf,Bill,"[1]"
6a7bb72c-82f3-4d82-9bcc-1e109cba12f1,Counselor,"[4, 5]"
6a7bb72c-82f3-4d82-9bcc-1e109cba12f1,The man,"[1, 3, 4, 5]"
3f8e333d-3e93-475a-a460-e45e07f191ed,Guests,"[3]"
3f8e333d-3e93-475a-a460-e45e07f191ed,The man,"[1, 5]"
3f8e333d-3e93-475a-a460-e45e07f191ed,One guest,"[4]"
da10e746-be5c-46ec-a222-2b8a2e04d84d,Man,"[1, 2, 3, 4, 5]"
628700bb-b3fd-4eb9-9742-f888f0cd83cd,Girlfriend,"[4]"
628700bb-b3fd-4eb9-9742-f888f0cd83cd,Girls,"[2]"
628700bb-b3fd-4eb9-9742-f888f0cd83cd,Ricky,"[1, 2, 3, 4]"
b057169d-2282-43f5-8e77-a4e10084d43a,I (myself),"[1, 2, 4, 5]"
b8aaff4b-d87c-4fa0-a31c-fd00f987b430,Sam,"[1, 2, 3, 4, 5]"
62132fae-6ab9-4b64-a895-6bfd1151d539,His friend,"[3, 4, 5]"
62132fae-6ab9-4b64-a895-6bfd1151d539,John,"[1, 2, 3, 4, 5]"
924d9d55-c031-4c6d-969d-e71f97c06768,Simon,"[1, 2, 5]"
80d6350b-93bb-43ec-80b8-24ba63d2b522,Warner,"[1, 2, 3, 4, 5]"
e8da9355-16d0-499e-a652-aaa73111b65f,Tom,"[1, 2, 3, 4, 5]"
753154ba-e451-4595-b35e-16c48e1de920,Friends,"[2, 3]"
753154ba-e451-4595-b35e-16c48e1de920,Veterans,"[1]"
d0f7d988-a0bb-4838-9abd-21609a575952,Jim,"[4, 5]"
d0f7d988-a0bb-4838-9abd-21609a575952,The seller,"[3, 4, 5]"
d0f7d988-a0bb-4838-9abd-21609a575952,Jack,"[1, 2, 3, 4, 5]"
e7f15a3c-58d8-402f-8d16-6718e41c487a,Simon,"[1, 2, 3, 4, 5]"
e7f15a3c-58d8-402f-8d16-6718e41c487a,His mother,"[3, 4]"
689a68da-e047-45a3-9383-bb2c46708a59,Turkey,"[3]"
689a68da-e047-45a3-9383-bb2c46708a59,Everyone,"[4]"
689a68da-e047-45a3-9383-bb2c46708a59,Janet,"[1, 2, 5]"
5b63b106-6719-4b6f-b93e-dfd5473b3e2a,I (myself),"[1]"
5b63b106-6719-4b6f-b93e-dfd5473b3e2a,Barbara,"[1, 2, 3, 4, 5]"
5b63b106-6719-4b6f-b93e-dfd5473b3e2a,Tommy,"[1, 2, 3, 4, 5]"
dd390afe-d152-41c9-ba46-69cbaccd169c,I (myself),"[2, 5]"
dd390afe-d152-41c9-ba46-69cbaccd169c,Tim,"[4, 5]"
dd390afe-d152-41c9-ba46-69cbaccd169c,My friends,"[1, 2]"
594b316d-1633-4115-b0d0-49f7698f7341,I (myself),"[1, 2, 4, 5]"
594b316d-1633-4115-b0d0-49f7698f7341,Friends,"[4, 5]"
594b316d-1633-4115-b0d0-49f7698f7341,Friend,"[2, 3, 4, 5]"
1a1096e3-8e38-487a-b1d1-adfcfeb41e40,James,"[1, 2, 3, 4, 5]"
1a1096e3-8e38-487a-b1d1-adfcfeb41e40,Nat,"[1, 2, 3, 4, 5]"
6252841e-102e-46b9-8c78-b6baf9b5a12a,Mallory,"[1, 2, 3, 4, 5]"
6252841e-102e-46b9-8c78-b6baf9b5a12a,Her friends,"[1, 3, 4, 5]"
6205d4d8-c25a-43d5-96b7-058fea185253,Sally,"[1, 2, 3, 4, 5]"
6205d4d8-c25a-43d5-96b7-058fea185253,Sally's friend,"[1, 2, 3, 4, 5]"
06645317-9d4d-4091-af0e-081c7308682e,Kevin,"[1, 2, 3, 4, 5]"
326cad04-31fc-437f-9204-6525e2a74222,Katherine,"[1, 2, 3, 4, 5]"
326cad04-31fc-437f-9204-6525e2a74222,Grandfather,"[1]"
d9b8a14d-5b12-4a57-b03b-4ad586720812,His friends,"[4, 5]"
d9b8a14d-5b12-4a57-b03b-4ad586720812,Evans,"[1, 2, 3, 4]"
e12f2d99-21d4-4684-ba85-d3d7f2e80996,Snakes,"[2]"
e12f2d99-21d4-4684-ba85-d3d7f2e80996,Mom,"[3]"
3f3fb6e4-e532-4098-adf9-69afb3ecbcfa,Jane,"[1, 4, 5]"
eb4b4958-b115-42bf-9685-a2d9fbf8b2f8,Friends,"[1, 3, 4]"
eb4b4958-b115-42bf-9685-a2d9fbf8b2f8,Son,"[1, 5]"
eb4b4958-b115-42bf-9685-a2d9fbf8b2f8,Alex,"[1, 2]"
fed2ae72-ecb3-4f18-b4f1-1cb3f3e0f0bc,Crowd,"[3]"
fed2ae72-ecb3-4f18-b4f1-1cb3f3e0f0bc,Helen,"[1, 2, 4, 5]"
fac07766-38fe-4c4a-864f-06abb5d9b524,The teacher,"[1, 5]"
fac07766-38fe-4c4a-864f-06abb5d9b524,Aaron,"[2]"
fac07766-38fe-4c4a-864f-06abb5d9b524,Class,"[1]"
2efc81fa-a8fa-4fcb-b592-5d81cd72a2b9,Friends,"[1, 2]"
2efc81fa-a8fa-4fcb-b592-5d81cd72a2b9,Imaginary friends,"[3, 4]"
2efc81fa-a8fa-4fcb-b592-5d81cd72a2b9,Bobby,"[1, 2, 3, 4, 5]"
e47aac52-7790-4a41-afef-68f1b9cd8d9f,I (myself),"[1, 2, 3, 4, 5]"
e47aac52-7790-4a41-afef-68f1b9cd8d9f,Manta,"[5]"
e47aac52-7790-4a41-afef-68f1b9cd8d9f,Husband,"[1, 2, 4]"
24575ec0-1519-49df-a581-89f8a9ecd78f,Kay,"[1, 2, 3, 4, 5]"
24575ec0-1519-49df-a581-89f8a9ecd78f,Chad,"[1, 2, 3, 5]"
4dd9e273-cc9c-4900-ad4b-7f8e177de558,I (myself),"[1, 2, 3, 4, 5]"
4dd9e273-cc9c-4900-ad4b-7f8e177de558,Restaurant,"[2, 3, 5]"
3be4dbeb-1aed-407f-9378-4c06388f8461,I (myself),"[1, 2, 3, 4, 5]"
3be4dbeb-1aed-407f-9378-4c06388f8461,John,"[1, 2, 3, 4, 5]"
30c84505-237e-4ff5-9ab9-9f27b158ccd7,Jamie,"[1, 2, 3, 4, 5]"
502d8764-5a8b-42fa-a3d9-b1a06d3a02e4,Dentist,"[1, 2, 3]"
502d8764-5a8b-42fa-a3d9-b1a06d3a02e4,Ted,"[1, 2, 3, 4, 5]"
a7450105-9292-4821-8737-b5f0d6f36367,A cat,"[3]"
a7450105-9292-4821-8737-b5f0d6f36367,Jeff,"[1, 2, 3, 4, 5]"
6cdc9299-c6f1-4afa-94c3-db7c3d742993,I (myself),"[1, 2, 3, 4, 5]"
9fd7f8cf-080c-4362-abab-62f478909033,Gina,"[1, 2, 3, 4, 5]"
9fd7f8cf-080c-4362-abab-62f478909033,Her mom,"[2, 3]"
850cf071-76ba-4928-9a36-12a72132aead,I (myself),"[1, 2, 3, 4, 5]"
e5587859-b503-42da-ab30-2471b864a375,Linda,"[1, 2, 3, 4]"
e5587859-b503-42da-ab30-2471b864a375,Her friend,"[4]"
e5587859-b503-42da-ab30-2471b864a375,Nate,"[1, 2, 3, 5]"
e5587859-b503-42da-ab30-2471b864a375,Friends.,"[4]"
f6ef92a4-033d-4bee-adb3-86e6b7d9dd04,I (myself),"[1, 5]"
593d25c0-b6e0-4c4e-891b-0441d393a6d0,Guilermo,"[1, 3]"
191eaacd-4cef-425c-9895-d858de1ba6c6,The boys,"[1, 2, 3, 4, 5]"
f3ac50fc-74f0-44eb-892e-76d00edde66d,Boy,"[3, 4]"
f3ac50fc-74f0-44eb-892e-76d00edde66d,Simon,"[1, 2, 4, 5]"
f3ac50fc-74f0-44eb-892e-76d00edde66d,Frog,"[3, 4, 5]"
ddb90deb-f0f3-4668-83fb-52be7f075b5c,Linda,"[1, 2, 3, 4, 5]"
e4b27d12-63f6-4aee-a8cb-f0d8ca2adb08,Kayla,"[1, 2, 5]"
8af06163-5132-499e-b1d0-672762e9edcf,Carrie,"[1]"
d07e1f85-7558-40e0-a180-8bda4c34dc72,Neighbors,"[4, 5]"
d07e1f85-7558-40e0-a180-8bda4c34dc72,Rick,"[1, 3, 4]"
775b2b20-27a0-4d40-a096-8e6d43b9d07f,Jen,"[1, 3]"
775b2b20-27a0-4d40-a096-8e6d43b9d07f,Lucy,"[1, 2, 3, 4, 5]"
775b2b20-27a0-4d40-a096-8e6d43b9d07f,Doctor,"[3, 4, 5]"
34f22929-903d-4c8f-adb0-75be3943b42f,Aliens,"[1, 2, 3, 4, 5]"
b4eb28e6-7efe-44af-a49f-1c6f49745bce,Julia,"[1, 3, 4, 5]"
b349d368-c22f-4828-8e37-068d7c1b105f,Kids,"[4]"
b349d368-c22f-4828-8e37-068d7c1b105f,The smith family,"[1, 2, 3, 5]"
7d2396c0-2ff2-47e6-8416-bf0f59709b40,Chad,"[1]"
0c79e11e-bfb6-4743-b989-19785ba60a6c,Mahimba,"[5]"
0c79e11e-bfb6-4743-b989-19785ba60a6c,Gareth,"[1, 3, 4, 5]"
2f8bcfb4-86ee-404c-9bac-44e90b314ab3,Simon,"[1, 4, 5]"
2f8bcfb4-86ee-404c-9bac-44e90b314ab3,Joey,"[1, 3]"
3d04e16d-8d67-42af-95b0-827ac59127a7,Ella,"[1, 2, 3, 4, 5]"
3d04e16d-8d67-42af-95b0-827ac59127a7,Jay,"[1, 2, 3, 4, 5]"
32b498f5-22b4-4b4d-9ac7-30cce4ebfdd9,I (myself),"[1, 2, 3, 5]"
32b498f5-22b4-4b4d-9ac7-30cce4ebfdd9,Friend,"[1, 2, 5]"
f7d2867c-626c-4909-810c-6cbf577c8a0d,I (myself),"[1, 2, 3, 4, 5]"
f7d2867c-626c-4909-810c-6cbf577c8a0d,My mother,"[1, 2, 3, 4, 5]"
f7d2867c-626c-4909-810c-6cbf577c8a0d,Dogs,"[1, 3, 4]"
f7d2867c-626c-4909-810c-6cbf577c8a0d,Next door neighbor,"[1]"
a3a470cf-aa61-4717-a5bd-3d3626f3a026,Son,"[1, 2, 3, 4]"
da7384f6-fd2b-4b7d-8953-d755548009ba,Doughter,"[1, 3]"
da7384f6-fd2b-4b7d-8953-d755548009ba,Andy,"[1, 2, 3, 4, 5]"
fa3737ff-d36c-478a-ac02-cc281ad483ff,Daughter,"[1, 2, 5]"
fa3737ff-d36c-478a-ac02-cc281ad483ff,Friends,"[4]"
fa3737ff-d36c-478a-ac02-cc281ad483ff,Andy,"[1, 3, 4, 5]"
a317105d-4604-4a06-898d-f52457ea9e33,Sam,"[1, 2, 3, 4, 5]"
88303552-b77b-4d1e-a5db-e5cb766c7c19,Dennis,"[1, 2, 3, 4, 5]"
88303552-b77b-4d1e-a5db-e5cb766c7c19,Boss,"[2, 4, 5]"
fa948820-5d5e-4692-995e-2a6d6e61da19,Bruce,"[1, 2, 3, 4, 5]"
b26e10e9-5b35-4737-9096-0d5912f8a8db,Manager,"[4, 5]"
b26e10e9-5b35-4737-9096-0d5912f8a8db,Worker,"[2, 4]"
b26e10e9-5b35-4737-9096-0d5912f8a8db,Tom,"[1, 2, 3, 5]"
3b7bcb91-9816-4d93-abb3-b4fa89f5c86d,Ben,"[1, 2, 3, 4, 5]"
3b7bcb91-9816-4d93-abb3-b4fa89f5c86d,His mom,"[2, 3, 4]"
092a1ddf-9a68-4b2e-a842-584c02c9a988,Tim,"[1, 2, 3, 4, 5]"
092a1ddf-9a68-4b2e-a842-584c02c9a988,Drivers,"[4]"
092a1ddf-9a68-4b2e-a842-584c02c9a988,His dad,"[2, 4]"
a970ee20-7e50-41b1-973e-25d8615b8f34,Sasha,"[1, 2, 3, 4, 5]"
46f8024b-d849-462b-bd07-b91f05221b3b,I (myself),"[1, 2, 3, 4, 5]"
e25a7e9d-fad5-4cb9-a0cf-16162351052d,John,"[1, 2, 3, 4, 5]"
e25a7e9d-fad5-4cb9-a0cf-16162351052d,A bee,"[1]"
df94c931-558c-4474-b36e-e336a54bc9f7,Scouts,"[1, 3]"
df94c931-558c-4474-b36e-e336a54bc9f7,The boys,"[3]"
c38a0ecf-6790-45b3-8170-206b6695a4a5,Justin,"[1, 2, 3, 4, 5]"
c38a0ecf-6790-45b3-8170-206b6695a4a5,Abbey,"[1, 2, 3, 4, 5]"
0f43db24-1861-4d0d-a27c-022d3954d569,Guy,"[4]"
0f43db24-1861-4d0d-a27c-022d3954d569,Eric,"[1, 2, 3, 4]"
4ecf7378-e1a5-4a09-9316-3badf75d8346,Julie,"[1, 2, 3, 4, 5]"
dfb122f2-6d03-4c33-8531-a81403dc5fe3,Gina's mom,"[1, 2]"
dfb122f2-6d03-4c33-8531-a81403dc5fe3,Gina,"[1, 3, 4, 5]"
eaa76dbe-940f-4dd2-ad06-52cf05ed9cb3,Aaliyah,"[1, 2, 3, 4, 5]"
eaa76dbe-940f-4dd2-ad06-52cf05ed9cb3,The tv station,"[4]"
0c81433c-0f89-4cbe-aa6e-d847089643c5,Susie,"[1, 2, 4, 5]"
b7a9409a-7f91-489d-b0bc-237c8f8d1fde,Tom,"[1]"
c24e9a91-5eb8-4255-b489-f04dfb5c1f8b,Vincent,"[1, 2, 4, 5]"
c24e9a91-5eb8-4255-b489-f04dfb5c1f8b,Police officer,"[2, 3, 5]"
c796af6b-af09-46f9-9563-1204f2ae7597,His family,"[5]"
c796af6b-af09-46f9-9563-1204f2ae7597,John,"[1, 2, 3, 5]"
c796af6b-af09-46f9-9563-1204f2ae7597,His toddler,"[1, 3, 4]"
3a24d84b-a51c-46ab-b6d7-25966df3a49f,Kim,"[1, 4, 5]"
3a24d84b-a51c-46ab-b6d7-25966df3a49f,Mother,"[2, 3]"
b6fed7b2-ed27-4079-82e1-ec11610f791b,Laurel,"[1, 2, 3, 4, 5]"
b6fed7b2-ed27-4079-82e1-ec11610f791b,The cashier,"[5]"
fe1bf89a-5f28-4bf8-a3be-705a6db9d261,I (myself),"[4]"
fe1bf89a-5f28-4bf8-a3be-705a6db9d261,Daughter,"[3]"
fe1bf89a-5f28-4bf8-a3be-705a6db9d261,My friend,"[1]"
cc1539ae-f4f6-4b9a-abf4-90b4331334d8,Salesman,"[1, 2, 3, 4, 5]"
cc1539ae-f4f6-4b9a-abf4-90b4331334d8,Salesman,"[1, 3, 4, 5]"
cc1539ae-f4f6-4b9a-abf4-90b4331334d8,People,"[1]"
e30899a3-21d3-4d13-804d-ed8d1be4f9fb,Kids,"[1, 3, 4, 5]"
e30899a3-21d3-4d13-804d-ed8d1be4f9fb,Sally,"[1, 3]"
75dcfb0b-6c4d-4627-8b4c-59951ac46e85,Kurt,"[1, 2, 3, 4, 5]"
75dcfb0b-6c4d-4627-8b4c-59951ac46e85,Wife,"[1, 5]"
2ea4dfce-1c7e-4e1d-b692-7863cdf50005,Tom,"[1, 2, 3, 4, 5]"
c4d52035-a269-43f1-854d-c596a3ff9a09,I (myself),"[1, 3, 4, 5]"
c4d52035-a269-43f1-854d-c596a3ff9a09,Ex-girlfriend,"[1, 2, 3, 5]"
cd1864f8-9c99-4608-b77f-238acce16d67,Jennifer,"[1]"
13750131-540e-40b8-93fa-1690fb2aee10,The kids,"[1, 2, 4, 5]"
13750131-540e-40b8-93fa-1690fb2aee10,My wife,"[3, 5]"
4601f688-7ecf-479b-ae26-cb3dd1e2ad51,Kia,"[1, 2, 3, 4, 5]"
4601f688-7ecf-479b-ae26-cb3dd1e2ad51,Friends,"[1]"
e9cb76da-54a6-4a26-bc7b-e0fd7025ef2c,Someone,"[1, 2, 4]"
e9cb76da-54a6-4a26-bc7b-e0fd7025ef2c,Man,"[4]"
e9cb76da-54a6-4a26-bc7b-e0fd7025ef2c,Kylie,"[1, 3, 5]"
e6411c2a-3e64-4cd1-a8cc-c0d80772bb05,Tony,"[1, 2, 3, 5]"
e6411c2a-3e64-4cd1-a8cc-c0d80772bb05,His friends,"[2, 3, 4, 5]"
e6411c2a-3e64-4cd1-a8cc-c0d80772bb05,John,"[4]"
eb995090-4bb7-4488-9af0-657dc8eef082,A nice guy,"[4, 5]"
eb995090-4bb7-4488-9af0-657dc8eef082,Aya,"[1, 2, 3, 4, 5]"
13c9b455-5d31-45b5-8da5-3d7f29d9668f,Paul,"[1, 2, 3, 4, 5]"
13c9b455-5d31-45b5-8da5-3d7f29d9668f,Janitor,"[4]"
13c9b455-5d31-45b5-8da5-3d7f29d9668f,Small business,"[1, 2]"
9a1b5826-15d8-4eb9-8d31-3db578930c2f,Everyone,"[4]"
